Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
Balance	4	8	1	x				8	1	2	2	2	1		1			1				x	x	x	x	x		x	x	x		1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	1000	2100	4	3500	4900	7	800	800	2	1	6	5000			1	2	2	2
			2	x				8	1	2	2	2	2		1			1				x	x	x	x	x		x	x	x		1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	1000	2100	4	3500	4900	7	800	800	2	1	7	5000			1	2	2	2
			3			x		4	1	2	2	2							1								x				x																x		x	x		x	x	x	strong		x	x	x	x	x	x	x	x	x	x	100	2000	3	4000	5000	6	7000	9000	9	2	8	5000			1	2	2	2
			4			x		4	1	2	2	2																				1		1													x		x	x		x	x	x	strong		x	x	x	x	x	x	x	x	x	x	800	2000	3	4000	5000	6	7000	9000	9	2	9	5000			1	2	2	2
			5			x		4	1	2	2	2															x				x							1										x							strong		x	x	x	x	x	x	x	x	x	x	5000	5000	5	8000	8500	7	8000	9500	7	6	3	8000			1	2	2	2
			6			x		4	1	2	2	2																							1		1										x		x				x	x	avg		x	x	x	x	x	x	x	x	x	x	800	2100	5	4000	5000	5	6000	8000	7	7	4	9000			1	2	2	2
			7			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x					1										x									avg		x	x	x	x	x	x	x	x	x	x	800	2100	5	4000	5000	5	6000	8000	7	8	3	8000			1	2	2	2
			8			x		4	1	2	2	2																								1											x		x				x	x	avg		x	x	x	x	x	x	x	x	x	x	800	2100	5	4000	5000	5	6000	8000	7	9	4	9000			1	2	2	2
			9			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1		1									x									avg		x	x	x	x	x	x	x	x	x	x	800	2100	5	4000	5000	5	6000	8000	7	3	4	0	x		1	2	2	2
			10			x		8	1	2	2	2															x				x							2									x	x	x			x	x	x	strong		x	x	x	x	x	x	x	x	x	x	9500	9900	50	0	0	0	0	0	0	3	4	0	x		1	2	2	2
																																																																												1	5	20000			1	2	2	2
																																																																												2	5	20000			1	2	2	2
																																																																												5	10	14000			1	2	2	2
																																																																												4	5	0	x		1	2	2	2
																																																																												4	5	0	x		1	2	2	2
Balance	9	9	1	x				8	1	2	2	2	1		1			1				x	x	x	x	x		x	x	x		1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	1000	2100	2	3500	4900	6	800	800	2	1	6	6000			1	2	2	2
			2	x				8	1	2	2	2	2		1			1				x	x	x	x	x		x	x	x		1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	1000	2100	2	3500	4900	6	800	800	2	1	7	6500			1	2	2	2
			3			x		4	1	2	2	2							1								x				x		1	1													x		x	x		x	x	x	strong		x	x	x	x	x	x	x	x	x	x	100	800	1	5000	5000	2	7000	9000	7	2	8	6000			1	2	2	2
			4			x		4	1	2	2	2							1								x				x	1	1														x		x	x		x	x	x	strong		x	x	x	x	x	x	x	x	x	x	800	800	1	5000	5000	2	7000	9000	7	2	9	6500			1	2	2	2
			5			x		4	1	2	2	2															x				x							1										x							strong		x	x	x	x	x	x	x	x	x	x	5000	5000	5	8000	8500	3	8000	9500	5	6	3	11000			1	2	2	2
			6			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1	1	1										x		x				x	x	strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	7	4	12000			1	2	2	2
			7			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1	1	1									x									strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	8	3	11000			1	2	2	2
			8			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1	1	1										x		x				x	x	strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	9	4	12000			1	2	2	2
			9			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1	1	1									x									strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	3	4	0	x		1	2	2	2
			10			x		4	1	2	2	2															x				x							4									x	x	x			x	x	x	strong		x	x	x	x	x	x	x	x	x	x	9500	9900	50	0	0	0	0	0	0	3	4	0	x		1	2	2	2
																																																																												1	5	30000			1	2	2	2
																																																																												2	5	30000			1	2	2	2
																																																																												5	10	22000			1	2	2	2
																																																																												4	5	0	x		1	2	2	2
																																																																												4	5	0	x		1	2	2	2
																																																																																				
																																																																																				
Balance	16	72	1	x				8	1	2	2	2	1		1			1				x	x	x	x	x		x	x	x		1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	1000	2100	2	3500	4900	6	800	800	1	1	6	6500			1	2	2	2
			2	x				8	1	2	2	2	2		1			1				x	x	x	x	x		x	x	x		1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	1000	2100	2	3500	4900	6	800	800	1	1	7	7000			1	2	2	2
			3			x		4	1	2	2	2							1								x				x		1	1													x		x	x		x	x	x	strong		x	x	x	x	x	x	x	x	x	x	100	800	1	5000	5000	2	7000	9000	6	2	8	6500			1	2	2	2
			4			x		4	1	2	2	2							1								x				x	1	1														x		x	x		x	x	x	strong		x	x	x	x	x	x	x	x	x	x	800	800	1	5000	5000	2	7000	9000	6	2	9	7000			1	2	2	2
			5			x		4	1	2	2	2															x				x							1										x							strong		x	x	x	x	x	x	x	x	x	x	5000	5000	5	8000	8500	3	8000	9500	5	6	3	12000			1	2	2	2
			6			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1		1										x		x				x	x	strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	7	4	13000			1	2	2	2
			7			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x					1	1									x									strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	8	3	12000			1	2	2	2
			8			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1		1										x		x				x	x	strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	9	4	13000			1	2	2	2
			9			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1	1										x									strong		x	x	x	x	x	x	x	x	x	x	500	2100	2	3500	5000	2	6000	8000	5	3	4	0	x		1	2	2	2
			10			x		4	1	2	2	2															x				x							5									x	x	x			x	x	x	strong		x	x	x	x	x	x	x	x	x	x	9500	9900	50	0	0	0	0	0	0	3	4	0	x		1	2	2	2
			11			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x				1	1											x		x				x	x	strong		x	x	x	x	x	x	x	x	x	x	800	2100	2	3500	5000	2	6000	8000	5	1	5	40000			1	2	2	2
			12			x		4	1	2	2	2						1						x	x	x	x	x	x	x	x					1	1										x		x				x	x	strong		x	x	x	x	x	x	x	x	x	x	800	2100	2	3500	5000	2	6000	8000	5	2	5	40000			1	2	2	2
																																																																												5	10	30000			1	2	2	2
																																																																												4	5	0	x		1	2	2	2
																																																																												4	5	0	x		1	2	2	2
																																																																												1	11	6500			1	2	2	2
																																																																												2	12	6500			1	2	2	2
																																																																												11	3	12000			1	2	2	2
																																																																												12	3	12000			1	2	2	2
																																																																												11	4	13000			1	2	2	2
																																																																												12	4	13000			1	2	2	2
